orden,id,nombre_original,nombre_alternativo,ruta_relativa,distancia_km,puntos,elevacion,elevacion_min_m,elevacion_max_m,es_circuito,estado_revision,observaciones_automaticas,sha256_geometria
129,gilles-129-sdn-conexion-1,SDN-conexión-1,,gilles-129-sdn-conexion-1/ruta.gpx,1.027,50,ausente,,,no,pendiente,tramo-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,81d3ff3f518b6877c720c03d6793374af18a2fb798cd947526c94f1fea1af4be
130,gilles-130-sdn-conexion-2,SDN-conexión-2,,gilles-130-sdn-conexion-2/ruta.gpx,0.480,25,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,70478d3c63fbe8b0dd7dadb372590d6d1a99ea16b49696b021d4dafe05bc5b86
131,gilles-131-sdn-lateral,SDN-lateral,,gilles-131-sdn-lateral/ruta.gpx,2.613,85,ausente,,,no,pendiente,sin-elevacion,7eed5e3221fe2fc620d938eee886ffede4376cec061e99fff855e40aaa0275fa
132,gilles-132-sdo-bajada-df-amatlan,SDO-bajada DF-Amatlán,,gilles-132-sdo-bajada-df-amatlan/ruta.gpx,3.327,100,ausente,,,no,pendiente,sin-elevacion,baa2da88b77baa6ac7ab4e14973f730f398664d8287155c089d469b59f59e085
133,gilles-133-sdo-conexion-1,SDO-conexión-1,,gilles-133-sdo-conexion-1/ruta.gpx,0.422,12,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,0f71acc66846bfaa49bc128db61a359b246f3c51ac2655e609a26eb1681aa89e
134,gilles-134-sdo-conexion-2,SDO-conexión-2,,gilles-134-sdo-conexion-2/ruta.gpx,0.458,22,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,c029e557cdf4aedb71d9e1d10acc9bc7d11ea116ef8c0ac915928386c8482f7c
135,gilles-135-sdo-conexion-3,SDO-conexión-3,,gilles-135-sdo-conexion-3/ruta.gpx,0.095,11,ausente,,,no,pendiente,tramo-muy-corto|posible-conector|nombre-con-sufijo-numerico|sin-elevacion,e347784cd9b6ce51b9a41c50887e7a4a91fbdaaa0d18a008864ef48caccba203
136,gilles-136-sdo-cumbre-del-cerro-huitzilac,SDO-cumbre del cerro Huitzilac,,gilles-136-sdo-cumbre-del-cerro-huitzilac/ruta.gpx,0.440,22,ausente,,,no,pendiente,tramo-muy-corto|sin-elevacion,ffb4fd6f7014854c6c68e3cf690e75d357d128423040c43f78eed4e66e4c48fd
137,gilles-137-sdo-df,SDO-DF,,gilles-137-sdo-df/ruta.gpx,9.156,399,ausente,,,no,pendiente,sin-elevacion,030ca7401c271a134601ac51db35a5f43c920b3b8e8616234b9c0b26493a2797
138,gilles-138-sdo-df-a-milpa-alta,SDO-DF a Milpa Alta,,gilles-138-sdo-df-a-milpa-alta/ruta.gpx,13.767,207,ausente,,,no,pendiente,sin-elevacion,2f9371ec91831a0839745067552a897863a84b309efc127382b7123218372232
